name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date 
Kepler-1477 b,2221,1.76 Earths,14.72,2016
Kepler-1479 b,2377,4.01 Earths,13.914,2016
Kepler-1480 b,1634,3.43 Earths,14.703,2016
Kepler-1482 b,1851,1.01 Earths,13.967,2016
Kepler-1483 b,4155,2.92 Earths,14.52,2016
Kepler-1484 b,9394,5.1 Earths,15.351,2016
Kepler-1488 b,2955,4.12 Earths,13.146,2016
Kepler-1489 b,4185,3.78 Earths,14.983,2016
Kepler-148 c,2581,12.6 Earths,15.398,2014
Kepler-1490 b,2815,9.48 Earths,15.616,2016
Kepler-1491 b,6738,2.89 Earths,15.796,2016
Kepler-1492 b,1082,2.83 Earths,14.689,2016
Kepler-1494 b,4193,9.64 Earths,15.372,2016
Kepler-1496 b,4266,5.56 Earths,14.832,2016
Kepler-1497 b,3660,3.39 Earths,15.707,2016
Kepler-1498 b,2414,2.33 Earths,15.352,2016
Kepler-1499 b,1011,1.81 Earths,13.676,2016
Kepler-149 b,1863,16.5 Earths,14.152,2014
Kepler-149 c,1863,3.22 Earths,14.152,2014
Kepler-14 b,2603,8.4 Jupiters,12.003,2011
Kepler-1500 b,3973,1.87 Earths,14.728,2016
Kepler-1502 b,4939,10.2 Earths,14.18,2016
Kepler-1504 b,7946,5.18 Earths,15.883,2016
Kepler-1507 b,1045,0.52 Earths,13.267,2016
Kepler-1508 b,4111,2.33 Earths,14.561,2016
Kepler-150 b,2907,2.1 Earths,15.161,2014
Kepler-150 c,2907,13.2 Earths,15.161,2014
Kepler-150 d,2907,8.2 Earths,15.161,2014
Kepler-150 e,2907,9.91 Earths,15.161,2014
Kepler-1510 b,5533,11.2 Earths,15.315,2016
Kepler-1511 b,4813,3.46 Earths,13.564,2016
Kepler-1512 b,528,1.76 Earths,13.451,2016
Kepler-1513 b,1139,0.17 Jupiters,13.071,2016
Kepler-1515 b,1759,0.208 Jupiters,12.1,2016
Kepler-1517 b,2764,0.216 Jupiters,12.228,2016
Kepler-1518 b,2947,9.53 Earths,13.374,2016
Kepler-1519 b,4703,39.6 Earths,15.124,2016
Kepler-151 b,2120,9.59 Earths,14.957,2014
Kepler-1522 b,2656,3.64 Earths,14.357,2016
Kepler-1525 b,1249,0.693 Earths,12.797,2016
Kepler-1526 b,1812,6.48 Earths,15.935,2016
Kepler-1528 b,2667,2.73 Earths,14.576,2016
Kepler-1513 b,1139,0.17 Jupiters,13.071,2016
Kepler-1515 b,1759,0.208 Jupiters,12.1,2016
Kepler-1517 b,2764,0.216 Jupiters,12.228,2016
Kepler-1518 b,2947,9.53 Earths,13.374,2016
Kepler-1519 b,4703,39.6 Earths,15.124,2016
Kepler-151 b,2120,9.59 Earths,14.957,2014
Kepler-1522 b,2656,3.64 Earths,14.357,2016
Kepler-1525 b,1249,0.693 Earths,12.797,2016
Kepler-1526 b,1812,6.48 Earths,15.935,2016
Kepler-1528 b,2667,2.73 Earths,14.576,2016
Kepler-1513 b,1139,0.17 Jupiters,13.071,2016
Kepler-1515 b,1759,0.208 Jupiters,12.1,2016
Kepler-1517 b,2764,0.216 Jupiters,12.228,2016
Kepler-1518 b,2947,9.53 Earths,13.374,2016
Kepler-1519 b,4703,39.6 Earths,15.124,2016
Kepler-151 b,2120,9.59 Earths,14.957,2014
Kepler-1522 b,2656,3.64 Earths,14.357,2016
Kepler-1525 b,1249,0.693 Earths,12.797,2016
Kepler-1526 b,1812,6.48 Earths,15.935,2016
Kepler-1528 b,2667,2.73 Earths,14.576,2016
Kepler-1513 b,1139,0.17 Jupiters,13.071,2016
Kepler-1515 b,1759,0.208 Jupiters,12.1,2016
Kepler-1517 b,2764,0.216 Jupiters,12.228,2016
Kepler-1518 b,2947,9.53 Earths,13.374,2016
Kepler-1519 b,4703,39.6 Earths,15.124,2016
Kepler-151 b,2120,9.59 Earths,14.957,2014
Kepler-1522 b,2656,3.64 Earths,14.357,2016
Kepler-1525 b,1249,0.693 Earths,12.797,2016
Kepler-1526 b,1812,6.48 Earths,15.935,2016
Kepler-1528 b,2667,2.73 Earths,14.576,2016
Kepler-1530 c,1598,3.36 Earths,14.15,2016
Kepler-1532 b,2604,2.39 Earths,15.293,2016
Kepler-1534 b,3611,4.23 Earths,16.429,2016
Kepler-1536 b,1263,10 Earths,15.464,2016
Kepler-1539 b,2441,7.75 Earths,15.487,2016
Kepler-153 b,1498,8.85 Earths,14.388,2014
Kepler-153 c,1498,6.94 Earths,14.388,2014
Kepler-1540 b,799,6.76 Earths,14.429,2016
Kepler-1542 b,1302,0.363 Earths,12.734,2016
Kepler-1542 e,1302,0.363 Earths,12.734,2016
Kepler-1543 b,3007,7.8 Earths,13.495,2016
Kepler-1544 b,1093,3.82 Earths,14.287,2016
Kepler-1546 b,3040,9.96 Earths,15.596,2016
Kepler-1547 b,2201,0.666 Earths,13.464,2016
Kepler-1549 b,2620,7.13 Earths,15.353,2016
Kepler-154 e,2985,2.86 Earths,14.646,2016
Kepler-154 f,2985,2.86 Earths,14.646,2016
Kepler-1550 b,3846,9.38 Earths,15.107,2016
Kepler-1551 b,4775,7.56 Earths,15.371,2016
Kepler-1553 b,2259,1.6 Earths,15.251,2016
Kepler-1554 b,3089,8.75 Earths,15.93,2016
Kepler-1555 b,6567,3.22 Earths,15.425,2016
Kepler-1560 b,1639,0.64 Earths,13.505,2016
Kepler-1562 b,6722,12.3 Earths,15.303,2016
Kepler-1566 b,1522,0.418 Earths,14.564,2016
Kepler-1569 b,3084,3.46 Earths,14.123,2016
Kepler-156 b,1447,5.9 Earths,14.339,2014
Kepler-1570 b,2998,1.24 Earths,14.242,2016
Kepler-1571 b,2203,2.92 Earths,13.975,2016
Kepler-1572 b,3088,0.779 Earths,13.879,2016
Kepler-1573 b,4747,1.87 Earths,15.304,2016
Kepler-1575 b,4067,2.27 Earths,15.53,2016
Kepler-1576 b,1503,1.12 Earths,13.439,2016
Kepler-1577 b,1664,1.51 Earths,15.228,2016
Kepler-1579 b,1520,0.52 Earths,15.49,2016
Kepler-157 c,2524,5.65 Earths,14.206,2014
Kepler-157 d,2524,2.73 Earths,14.206,2016
Kepler-1584 b,4620,3.22 Earths,15.105,2016
Kepler-1585 b,3081,3.86 Earths,16.326,2016
Kepler-1586 b,1802,2.92 Earths,13.278,2016
Kepler-1587 b,3348,2.33 Earths,14.166,2016
Kepler-1588 b,3015,0.363 Earths,13.94,2016
Kepler-1589 b,4936,1.32 Earths,15.074,2016
Kepler-158 b,1028,5.14 Earths,14.743,2014
Kepler-158 c,1028,4.27 Earths,14.743,2014
Kepler-1590 b,2515,1.55 Earths,14.186,2016
Kepler-1591 b,4631,2.15 Earths,14.846,2016
Kepler-1592 b,5348,2.99 Earths,14.94,2016
Kepler-1593 b,2082,10.2 Earths,16.19,2016
Kepler-1594 b,3187,1.2 Earths,14.951,2016
Kepler-1587 b,3348,2.33 Earths,14.166,2016
Kepler-1588 b,3015,0.363 Earths,13.94,2016
Kepler-1589 b,4936,1.32 Earths,15.074,2016
Kepler-158 b,1028,5.14 Earths,14.743,2014
Kepler-158 c,1028,4.27 Earths,14.743,2014
Kepler-1590 b,2515,1.55 Earths,14.186,2016
Kepler-1591 b,4631,2.15 Earths,14.846,2016
Kepler-1592 b,5348,2.99 Earths,14.94,2016
Kepler-1593 b,2082,10.2 Earths,16.19,2016
Kepler-1594 b,3187,1.2 Earths,14.951,2016
Kepler-1587 b,3348,2.33 Earths,14.166,2016
Kepler-1588 b,3015,0.363 Earths,13.94,2016
Kepler-1589 b,4936,1.32 Earths,15.074,2016
Kepler-158 b,1028,5.14 Earths,14.743,2014
Kepler-158 c,1028,4.27 Earths,14.743,2014
Kepler-1590 b,2515,1.55 Earths,14.186,2016
Kepler-1591 b,4631,2.15 Earths,14.846,2016
Kepler-1592 b,5348,2.99 Earths,14.94,2016
Kepler-1593 b,2082,10.2 Earths,16.19,2016
Kepler-1594 b,3187,1.2 Earths,14.951,2016
Kepler-1587 b,3348,2.33 Earths,14.166,2016
Kepler-1588 b,3015,0.363 Earths,13.94,2016
Kepler-1589 b,4936,1.32 Earths,15.074,2016
Kepler-158 b,1028,5.14 Earths,14.743,2014
Kepler-158 c,1028,4.27 Earths,14.743,2014
Kepler-1590 b,2515,1.55 Earths,14.186,2016
Kepler-1591 b,4631,2.15 Earths,14.846,2016
Kepler-1592 b,5348,2.99 Earths,14.94,2016
Kepler-1593 b,2082,10.2 Earths,16.19,2016
Kepler-1594 b,3187,1.2 Earths,14.951,2016
Kepler-1587 b,3348,2.33 Earths,14.166,2016
Kepler-1588 b,3015,0.363 Earths,13.94,2016
Kepler-1589 b,4936,1.32 Earths,15.074,2016
Kepler-158 b,1028,5.14 Earths,14.743,2014
Kepler-158 c,1028,4.27 Earths,14.743,2014
Kepler-1590 b,2515,1.55 Earths,14.186,2016
Kepler-1591 b,4631,2.15 Earths,14.846,2016
Kepler-1592 b,5348,2.99 Earths,14.94,2016
Kepler-1593 b,2082,10.2 Earths,16.19,2016
Kepler-1594 b,3187,1.2 Earths,14.951,2016
Kepler-1596 b,7001,4.27 Earths,15.632,2016
Kepler-15 b,2412,0.66 Jupiters,13.81,2011
Kepler-1600 b,3363,9.96 Earths,16.076,2016
Kepler-1601 b,2102,0.477 Earths,13.842,2016
Kepler-1603 b,8848,2.21 Earths,15.397,2016
Kepler-1604 b,1765,2.57 Earths,15.224,2016
Kepler-1606 b,2712,4.94 Earths,15.396,2016
Kepler-1608 b,2714,3.64 Earths,16.265,2016
Kepler-160 b,3057,3.59 Earths,14.816,2014
Kepler-160 c,3057,13.6 Earths,14.816,2014
Kepler-160 d,3057,0.31463 Jupiters,14.816,2020
Kepler-1610 b,2819,3.22 Earths,16.077,2016
Kepler-1611 b,2963,0.457 Earths,14.627,2016
Kepler-1612 b,2495,1.08 Earths,14.936,2016
Kepler-1613 b,4920,4.98 Earths,14.192,2016
Kepler-1614 b,3886,2.83 Earths,16.01,2016
Kepler-1615 b,4547,4.9 Earths,14.603,2016
Kepler-1618 b,4010,2.13 Earths,13.672,2016
Kepler-161 b,1418,12.1 Earths,14.406,2014
Kepler-161 c,1418,11.8 Earths,14.406,2014
Kepler-160 d,3057,0.31463 Jupiters,14.816,2020
Kepler-1610 b,2819,3.22 Earths,16.077,2016
Kepler-1611 b,2963,0.457 Earths,14.627,2016
Kepler-1612 b,2495,1.08 Earths,14.936,2016
Kepler-1613 b,4920,4.98 Earths,14.192,2016
Kepler-1614 b,3886,2.83 Earths,16.01,2016
Kepler-1615 b,4547,4.9 Earths,14.603,2016
Kepler-1618 b,4010,2.13 Earths,13.672,2016
Kepler-161 b,1418,12.1 Earths,14.406,2014
Kepler-161 c,1418,11.8 Earths,14.406,2014
Kepler-1649 b,301,1.03 Earths,17.95,2017
Kepler-1649 c,301,1.2 Earths,17.95,2020
Kepler-164 b,2906,2.57 Earths,14.379,2014
Kepler-164 c,2906,7.9 Earths,14.379,2014
Kepler-1653 b,2463,5.35 Earths,15.864,2017
Kepler-165 c,1830,5.6 Earths,15.05,2014
Kepler-1668 b,4357,17.4 Earths,15.792,2020
Kepler-1669 b,1773,8.15 Earths,16.473,2020
Kepler-166 b,1969,5.77 Earths,14.857,2014
Kepler-166 c,1969,6.26 Earths,14.857,2014
Kepler-1649 b,301,1.03 Earths,17.95,2017
Kepler-1649 c,301,1.2 Earths,17.95,2020
Kepler-164 b,2906,2.57 Earths,14.379,2014
Kepler-164 c,2906,7.9 Earths,14.379,2014
Kepler-1653 b,2463,5.35 Earths,15.864,2017
Kepler-165 c,1830,5.6 Earths,15.05,2014
Kepler-1668 b,4357,17.4 Earths,15.792,2020
Kepler-1669 b,1773,8.15 Earths,16.473,2020
Kepler-166 b,1969,5.77 Earths,14.857,2014
Kepler-166 c,1969,6.26 Earths,14.857,2014
Kepler-1649 b,301,1.03 Earths,17.95,2017
Kepler-1649 c,301,1.2 Earths,17.95,2020
Kepler-164 b,2906,2.57 Earths,14.379,2014
Kepler-164 c,2906,7.9 Earths,14.379,2014
Kepler-1653 b,2463,5.35 Earths,15.864,2017
Kepler-165 c,1830,5.6 Earths,15.05,2014
Kepler-1668 b,4357,17.4 Earths,15.792,2020
Kepler-1669 b,1773,8.15 Earths,16.473,2020
Kepler-166 b,1969,5.77 Earths,14.857,2014
Kepler-166 c,1969,6.26 Earths,14.857,2014
Kepler-1649 b,301,1.03 Earths,17.95,2017
Kepler-1649 c,301,1.2 Earths,17.95,2020
Kepler-164 b,2906,2.57 Earths,14.379,2014
Kepler-164 c,2906,7.9 Earths,14.379,2014
Kepler-1653 b,2463,5.35 Earths,15.864,2017
Kepler-165 c,1830,5.6 Earths,15.05,2014
Kepler-1668 b,4357,17.4 Earths,15.792,2020
Kepler-1669 b,1773,8.15 Earths,16.473,2020
Kepler-166 b,1969,5.77 Earths,14.857,2014
Kepler-166 c,1969,6.26 Earths,14.857,2014
Kepler-1649 b,301,1.03 Earths,17.95,2017
Kepler-1649 c,301,1.2 Earths,17.95,2020
Kepler-164 b,2906,2.57 Earths,14.379,2014
Kepler-164 c,2906,7.9 Earths,14.379,2014
Kepler-1653 b,2463,5.35 Earths,15.864,2017
Kepler-165 c,1830,5.6 Earths,15.05,2014
Kepler-1668 b,4357,17.4 Earths,15.792,2020
Kepler-1669 b,1773,8.15 Earths,16.473,2020
Kepler-166 b,1969,5.77 Earths,14.857,2014
Kepler-166 c,1969,6.26 Earths,14.857,2014
Kepler-1649 b,301,1.03 Earths,17.95,2017
Kepler-1649 c,301,1.2 Earths,17.95,2020
Kepler-164 b,2906,2.57 Earths,14.379,2014
Kepler-164 c,2906,7.9 Earths,14.379,2014
Kepler-1653 b,2463,5.35 Earths,15.864,2017
Kepler-165 c,1830,5.6 Earths,15.05,2014
Kepler-1668 b,4357,17.4 Earths,15.792,2020
Kepler-1669 b,1773,8.15 Earths,16.473,2020
Kepler-166 b,1969,5.77 Earths,14.857,2014
Kepler-166 c,1969,6.26 Earths,14.857,2014
Kepler-1649 b,301,1.03 Earths,17.95,2017
Kepler-1649 c,301,1.2 Earths,17.95,2020
Kepler-164 b,2906,2.57 Earths,14.379,2014
Kepler-164 c,2906,7.9 Earths,14.379,2014
Kepler-1653 b,2463,5.35 Earths,15.864,2017
Kepler-165 c,1830,5.6 Earths,15.05,2014
Kepler-1668 b,4357,17.4 Earths,15.792,2020
Kepler-1669 b,1773,8.15 Earths,16.473,2020
Kepler-166 b,1969,5.77 Earths,14.857,2014
Kepler-166 c,1969,6.26 Earths,14.857,2014
Kepler-1670 b,6739,11.2 Earths,15.743,2020
Kepler-1671 b,1165,2.32 Earths,13.439,2020
Kepler-1672 b,1276,9.11 Earths,12.548,2020
Kepler-1673 b,2372,8.93 Earths,13.783,2020
Kepler-1674 b,3303,10.4 Earths,15.697,2020
Kepler-167 d,1115,1.83 Earths,14.284,2016
Kepler-1681 b,2474,7.05 Earths,14.646,2020
Kepler-1684 b,2029,8.6 Earths,15.951,2020
Kepler-1686 b,2381,2.62 Earths,13.661,2020
Kepler-1689 b,959,0.799 Earths,12.227,2020
Kepler-1670 b,6739,11.2 Earths,15.743,2020
Kepler-1671 b,1165,2.32 Earths,13.439,2020
Kepler-1672 b,1276,9.11 Earths,12.548,2020
Kepler-1673 b,2372,8.93 Earths,13.783,2020
Kepler-1674 b,3303,10.4 Earths,15.697,2020
Kepler-167 d,1115,1.83 Earths,14.284,2016
Kepler-1681 b,2474,7.05 Earths,14.646,2020
Kepler-1684 b,2029,8.6 Earths,15.951,2020
Kepler-1686 b,2381,2.62 Earths,13.661,2020
Kepler-1689 b,959,0.799 Earths,12.227,2020
Kepler-201 b,2076,6.62 Earths,12.991,2014
Kepler-203 b,2294,7.13 Earths,14.14,2014
Kepler-205 b,521,2.89 Earths,13.779,2014
Kepler-205 c,521,3.33 Earths,13.779,2014
Kepler-206 b,1939,1.87 Earths,13.507,2014
Kepler-206 c,1939,3.78 Earths,13.507,2014
Kepler-206 d,1939,1.81 Earths,13.507,2014
Kepler-207 c,2856,2.86 Earths,13.164,2014
Kepler-207 d,2856,11 Earths,13.164,2014
Kepler-208 b,2529,3.29 Earths,13.561,2014
Kepler-201 b,2076,6.62 Earths,12.991,2014
Kepler-203 b,2294,7.13 Earths,14.14,2014
Kepler-205 b,521,2.89 Earths,13.779,2014
Kepler-205 c,521,3.33 Earths,13.779,2014
Kepler-206 b,1939,1.87 Earths,13.507,2014
Kepler-206 c,1939,3.78 Earths,13.507,2014
Kepler-206 d,1939,1.81 Earths,13.507,2014
Kepler-207 c,2856,2.86 Earths,13.164,2014
Kepler-207 d,2856,11 Earths,13.164,2014
Kepler-208 b,2529,3.29 Earths,13.561,2014
Kepler-201 b,2076,6.62 Earths,12.991,2014
Kepler-203 b,2294,7.13 Earths,14.14,2014
Kepler-205 b,521,2.89 Earths,13.779,2014
Kepler-205 c,521,3.33 Earths,13.779,2014
Kepler-206 b,1939,1.87 Earths,13.507,2014
Kepler-206 c,1939,3.78 Earths,13.507,2014
Kepler-206 d,1939,1.81 Earths,13.507,2014
Kepler-207 c,2856,2.86 Earths,13.164,2014
Kepler-207 d,2856,11 Earths,13.164,2014
Kepler-208 b,2529,3.29 Earths,13.561,2014
Kepler-201 b,2076,6.62 Earths,12.991,2014
Kepler-203 b,2294,7.13 Earths,14.14,2014
Kepler-205 b,521,2.89 Earths,13.779,2014
Kepler-205 c,521,3.33 Earths,13.779,2014
Kepler-206 b,1939,1.87 Earths,13.507,2014
Kepler-206 c,1939,3.78 Earths,13.507,2014
Kepler-206 d,1939,1.81 Earths,13.507,2014
Kepler-207 c,2856,2.86 Earths,13.164,2014
Kepler-207 d,2856,11 Earths,13.164,2014
Kepler-208 b,2529,3.29 Earths,13.561,2014
Kepler-208 c,2529,2.51 Earths,13.561,2014
Kepler-208 d,2529,1.87 Earths,13.561,2014
Kepler-208 e,2529,2.79 Earths,13.561,2014
Kepler-209 c,1882,9.8 Earths,14.132,2014
Kepler-20 g,922,19.96 Earths,12.61,2016
Kepler-210 b,759,8.96 Earths,14.126,2014
Kepler-210 c,759,12.8 Earths,14.126,2014
Kepler-212 b,2242,1.32 Earths,13.129,2014
Kepler-212 c,2242,7.95 Earths,13.129,2014
Kepler-214 b,3942,7.32 Earths,14.057,2014
Kepler-208 c,2529,2.51 Earths,13.561,2014
Kepler-208 d,2529,1.87 Earths,13.561,2014
Kepler-208 e,2529,2.79 Earths,13.561,2014
Kepler-209 c,1882,9.8 Earths,14.132,2014
Kepler-20 g,922,19.96 Earths,12.61,2016
Kepler-210 b,759,8.96 Earths,14.126,2014
Kepler-210 c,759,12.8 Earths,14.126,2014
Kepler-212 b,2242,1.32 Earths,13.129,2014
Kepler-212 c,2242,7.95 Earths,13.129,2014
Kepler-214 b,3942,7.32 Earths,14.057,2014
Kepler-214 c,3942,5.18 Earths,14.057,2014
Kepler-215 b,1585,3.26 Earths,13.678,2014
Kepler-216 b,3874,6.12 Earths,14.054,2014
Kepler-216 c,3874,9.48 Earths,14.054,2014
Kepler-217 c,3603,4.08 Earths,13.155,2014
Kepler-219 c,2567,12.5 Earths,13.823,2014
Kepler-220 b,558,0.457 Earths,13.049,2014
Kepler-221 b,1257,3.57 Earths,13.97,2014
Kepler-221 c,1257,15.1 Earths,13.97,2014
Kepler-221 d,1257,7.9 Earths,13.97,2014
Kepler-214 c,3942,5.18 Earths,14.057,2014
Kepler-215 b,1585,3.26 Earths,13.678,2014
Kepler-216 b,3874,6.12 Earths,14.054,2014
Kepler-216 c,3874,9.48 Earths,14.054,2014
Kepler-217 c,3603,4.08 Earths,13.155,2014
Kepler-219 c,2567,12.5 Earths,13.823,2014
Kepler-220 b,558,0.457 Earths,13.049,2014
Kepler-221 b,1257,3.57 Earths,13.97,2014
Kepler-221 c,1257,15.1 Earths,13.97,2014
Kepler-221 d,1257,7.9 Earths,13.97,2014
Kepler-232 b,4401,9.69 Earths,15.565,2014
Kepler-232 c,4401,14 Earths,15.565,2014
Kepler-235 b,1396,5.6 Earths,16.567,2014
Kepler-236 b,942,3.09 Earths,16.014,2014
Kepler-237 c,2146,4.98 Earths,15.689,2014
Kepler-238 c,5868,6.3 Earths,15.297,2014
Kepler-239 b,2114,6.04 Earths,15.252,2014
Kepler-23 c,2726,2.7 Jupiters,13.567,2011
Kepler-23 d,2726,17.6 Earths,13.567,2014
Kepler-241 c,1670,7.13 Earths,15.708,2014
Kepler-232 b,4401,9.69 Earths,15.565,2014
Kepler-232 c,4401,14 Earths,15.565,2014
Kepler-235 b,1396,5.6 Earths,16.567,2014
Kepler-236 b,942,3.09 Earths,16.014,2014
Kepler-237 c,2146,4.98 Earths,15.689,2014
Kepler-238 c,5868,6.3 Earths,15.297,2014
Kepler-239 b,2114,6.04 Earths,15.252,2014
Kepler-23 c,2726,2.7 Jupiters,13.567,2011
Kepler-23 d,2726,17.6 Earths,13.567,2014
Kepler-241 c,1670,7.13 Earths,15.708,2014
Kepler-232 b,4401,9.69 Earths,15.565,2014
Kepler-232 c,4401,14 Earths,15.565,2014
Kepler-235 b,1396,5.6 Earths,16.567,2014
Kepler-236 b,942,3.09 Earths,16.014,2014
Kepler-237 c,2146,4.98 Earths,15.689,2014
Kepler-238 c,5868,6.3 Earths,15.297,2014
Kepler-239 b,2114,6.04 Earths,15.252,2014
Kepler-23 c,2726,2.7 Jupiters,13.567,2011
Kepler-23 d,2726,17.6 Earths,13.567,2014
Kepler-241 c,1670,7.13 Earths,15.708,2014
Kepler-242 c,1958,4.66 Earths,15.489,2014
Kepler-243 b,2263,6.57 Earths,15.159,2014
Kepler-243 c,2263,4.62 Earths,15.159,2014
Kepler-244 d,3381,15.2 Earths,15.747,2014
Kepler-245 b,2810,7.13 Earths,15.546,2014
Kepler-245 c,2810,0.71 Jupiters,15.546,2014
Kepler-245 d,2810,21.6 Earths,15.546,2014
Kepler-246 b,2042,6.08 Earths,15.197,2014
Kepler-246 c,2042,2.86 Earths,15.197,2014
Kepler-247 b,2165,3.33 Earths,15.199,2014
Kepler-242 c,1958,4.66 Earths,15.489,2014
Kepler-243 b,2263,6.57 Earths,15.159,2014
Kepler-243 c,2263,4.62 Earths,15.159,2014
Kepler-244 d,3381,15.2 Earths,15.747,2014
Kepler-245 b,2810,7.13 Earths,15.546,2014
Kepler-245 c,2810,0.71 Jupiters,15.546,2014
Kepler-245 d,2810,21.6 Earths,15.546,2014
Kepler-246 b,2042,6.08 Earths,15.197,2014
Kepler-246 c,2042,2.86 Earths,15.197,2014
Kepler-247 b,2165,3.33 Earths,15.199,2014
Kepler-242 c,1958,4.66 Earths,15.489,2014
Kepler-243 b,2263,6.57 Earths,15.159,2014
Kepler-243 c,2263,4.62 Earths,15.159,2014
Kepler-244 d,3381,15.2 Earths,15.747,2014
Kepler-245 b,2810,7.13 Earths,15.546,2014
Kepler-245 c,2810,0.71 Jupiters,15.546,2014
Kepler-245 d,2810,21.6 Earths,15.546,2014
Kepler-246 b,2042,6.08 Earths,15.197,2014
Kepler-246 c,2042,2.86 Earths,15.197,2014
Kepler-247 b,2165,3.33 Earths,15.199,2014
Kepler-242 c,1958,4.66 Earths,15.489,2014
Kepler-243 b,2263,6.57 Earths,15.159,2014
Kepler-243 c,2263,4.62 Earths,15.159,2014
Kepler-244 d,3381,15.2 Earths,15.747,2014
Kepler-245 b,2810,7.13 Earths,15.546,2014
Kepler-245 c,2810,0.71 Jupiters,15.546,2014
Kepler-245 d,2810,21.6 Earths,15.546,2014
Kepler-246 b,2042,6.08 Earths,15.197,2014
Kepler-246 c,2042,2.86 Earths,15.197,2014
Kepler-247 b,2165,3.33 Earths,15.199,2014
Kepler-242 c,1958,4.66 Earths,15.489,2014
Kepler-243 b,2263,6.57 Earths,15.159,2014
Kepler-243 c,2263,4.62 Earths,15.159,2014
Kepler-244 d,3381,15.2 Earths,15.747,2014
Kepler-245 b,2810,7.13 Earths,15.546,2014
Kepler-245 c,2810,0.71 Jupiters,15.546,2014
Kepler-245 d,2810,21.6 Earths,15.546,2014
Kepler-246 b,2042,6.08 Earths,15.197,2014
Kepler-246 c,2042,2.86 Earths,15.197,2014
Kepler-247 b,2165,3.33 Earths,15.199,2014
Kepler-242 c,1958,4.66 Earths,15.489,2014
Kepler-243 b,2263,6.57 Earths,15.159,2014
Kepler-243 c,2263,4.62 Earths,15.159,2014
Kepler-244 d,3381,15.2 Earths,15.747,2014
Kepler-245 b,2810,7.13 Earths,15.546,2014
Kepler-245 c,2810,0.71 Jupiters,15.546,2014
Kepler-245 d,2810,21.6 Earths,15.546,2014
Kepler-246 b,2042,6.08 Earths,15.197,2014
Kepler-246 c,2042,2.86 Earths,15.197,2014
Kepler-247 b,2165,3.33 Earths,15.199,2014
Kepler-255 b,3433,3.02 Earths,15.699,2014
Kepler-255 c,3433,9.22 Earths,15.699,2014
Kepler-256 b,3348,3.15 Earths,15.178,2014
Kepler-256 d,3348,6.71 Earths,15.178,2014
Kepler-257 b,2545,7.32 Earths,15.652,2014
Kepler-257 d,2545,21.7 Earths,15.652,2014
Kepler-258 b,1879,15.5 Earths,15.49,2014
Kepler-259 c,3269,7.75 Earths,15.378,2014
Kepler-262 b,2000,2.42 Earths,14.478,2014
Kepler-262 c,2000,3.33 Earths,14.478,2014
Kepler-263 c,2462,6.66 Earths,15.435,2014
Kepler-265 b,4176,4.12 Earths,15.47,2014
Kepler-265 c,4176,7.41 Earths,15.47,2014
Kepler-265 e,4176,7.22 Earths,15.47,2014
Kepler-266 b,4472,6.71 Earths,15.787,2014
Kepler-267 c,864,5.18 Earths,16.69,2014
Kepler-26 c,1094,6.2 Earths,15.853,2011
Kepler-26 d,1094,1.24 Earths,15.853,2014
Kepler-26 e,1094,6.39 Earths,15.853,2014
Kepler-271 b,1320,2.04 Earths,13.578,2014
Kepler-263 c,2462,6.66 Earths,15.435,2014
Kepler-265 b,4176,4.12 Earths,15.47,2014
Kepler-265 c,4176,7.41 Earths,15.47,2014
Kepler-265 e,4176,7.22 Earths,15.47,2014
Kepler-266 b,4472,6.71 Earths,15.787,2014
Kepler-267 c,864,5.18 Earths,16.69,2014
Kepler-26 c,1094,6.2 Earths,15.853,2011
Kepler-26 d,1094,1.24 Earths,15.853,2014
Kepler-26 e,1094,6.39 Earths,15.853,2014
Kepler-271 b,1320,2.04 Earths,13.578,2014
Kepler-280 c,2546,4.7 Earths,14.35,2014
Kepler-282 b,4363,1.01 Earths,15.444,2014
Kepler-282 c,4363,1.87 Earths,15.444,2014
Kepler-282 d,4363,0.192 Jupiters,15.444,2013
Kepler-283 b,1527,5.18 Earths,16.216,2014
Kepler-283 c,1527,3.97 Earths,16.216,2014
Kepler-284 c,3366,7.32 Earths,15.944,2014
Kepler-285 b,2689,2.36 Earths,15.198,2014
Kepler-285 c,2689,1.46 Earths,15.198,2014
Kepler-286 b,4002,2.07 Earths,15.863,2014
Kepler-286 c,4002,2.45 Earths,15.863,2014
Kepler-286 e,4002,3.78 Earths,15.863,2014
Kepler-287 b,2727,6.04 Earths,14.952,2014
Kepler-288 b,3895,3.43 Earths,15.283,2014
Kepler-288 d,3895,7.61 Earths,15.283,2014
Kepler-289 c,2298,0.42 Jupiters,14.142,2014
Kepler-290 c,2266,7.75 Earths,15.775,2014
Kepler-291 b,5827,5.31 Earths,16.218,2014
Kepler-292 b,3446,2.3 Earths,16.303,2014
Kepler-292 c,3446,2.76 Earths,16.303,2014
Kepler-286 c,4002,2.45 Earths,15.863,2014
Kepler-286 e,4002,3.78 Earths,15.863,2014
Kepler-287 b,2727,6.04 Earths,14.952,2014
Kepler-288 b,3895,3.43 Earths,15.283,2014
Kepler-288 d,3895,7.61 Earths,15.283,2014
Kepler-289 c,2298,0.42 Jupiters,14.142,2014
Kepler-290 c,2266,7.75 Earths,15.775,2014
